id,sentence,emotion
73,My sister is excited to watch the new Spiderman movie.,happiness
74,My friend came all the way from another continent to surprise me.,surprise
75,I was afraid that this would happen.,fear
76,"I lost my house in the casino, I feel bad about it.",sadness
77,Hearing her laughter echo through the house brought a sense of happiness that warmed every corner of my heart.,happiness
78,I love trying new activities.,happiness
79,The smell of rotten food in the trash can makes me gag.,disgust
80,I find it dusgusting when my kitchen is not cleaned.,disgust
81,I regret the things I said to you.,sadness
82,Seeing a big cockroach in the kitchen made me feel really grossed out.,disgust
83,He felt relieved after passing this block.,happiness
84,I can't believe how much you've grown since we last met!,surprise
85,Her mother was disappointed when her son started drinking after promising he wouldn't,sadness
86,Finding a bouquet of flowers on my doorstep left me happily taken aback.,happiness
87,I've been feeling blue ever since I moved.,sadness
88,After moving abroad Emily felt a deep sense of loneliness without her family nearby.,sadness
89,I was surprised to see my best friend with my ex.,surprise
90,"I hate eating broccoli, it is disgusting.",disgust
91,"The lonely puppy let out a plaintive whimper, expressing a profound feeling of abandonment and sorrow.",sadness
92,The cancellation of the event last minute was frustrating.,sadness
93,Thank you for the gift guys ! ,happiness
94,"Jake is proud he got a good grade for his essay,",happiness
95,They threatened to snitch on her.,sadness
96,I am glad to see you!,happiness
97,She got rejected for an internship.,sadness
98,I was distraught at the sight of the lost child.,sadness
99,I was amazed by her skillful singing!,surprise
100,I really like dancing at a party.,happiness
101,Anthony felt hurt when someone made fun of him.,sadness
102,When I see a spider I run the opposite direction,fear
103,I hate having to explain concepts multiple times over,anger
104,How on Earth is this correct?,anger
105,"When I'm scared, I always sit downstairs so I'm on guard.",fear
106,I was flabberghasted when my friends kept a suprise party for me,surprise
107,The size of that statue astonished me.,surprise
108,"It enfuriates me, when I don't win.",anger
109,Failing to achieve my goals has left me feeling quite despondent.,sadness
110,I feel sad when I know I have to wake up early the next day.,sadness
111,Spending time with friends is so fun!,happiness
112,The lack of accountability in certain situations makes me seethe with frustration.,sadness
113,Get out of the classroom!,anger
114,I am extremely proud of this achievement!,happiness
115,Seeing disregard for the environment fills me with a sense of revulsion.,disgust
116,"Feeling lonely in a crowded room, she struggled to hide the ache in her heart.",sadness
117,"I cannot believe that you booked this trip, it will be so much fun.",happiness
118,Brussel sprouts taste like dirt.,disgust
119,I'm afraid of swimming in deep waters.,fear
120,Why can't I ever seem to do anything right?!,anger
121,"Finding out someone had spread false rumors about me sparked an intense anger, demanding justice and correction.",anger
122,I am happy when I am spending time with my friends.,happiness
123,The man spat out his food when he saw it contained a hair.,disgust
124,Sam feels sick when he smells the stinky garbage.,disgust
125,The public feels betrayed by the minister's decision.,sadness
126,My friend was disgusted by the fact that some people don�t wash their hands after using the bathroom.,disgust
127,I was taken aback by the sudden thunderstorm after such a sunny day.,surprise
128,I love to drink a coffee in the morning!,happiness
129,"With a disgusted sigh, she hastily wiped the grime off her hands after touching the sticky doorknob.",disgust
130,The waitress seems to be very annoyed by her boss.,anger
131,What is that foul smell looming around the pasture?,disgust
132,I am scared that she will take my kids.,fear
133,Dropping my ice cream makes me feel sad.,sadness
134,The smell in here is disturbing.,disgust
135,Loosing a friend is an awful thing.,sadness
136,"She abhors injustice in any form, finding it utterly despicable.",sadness
137,"When the lights went out, the surprise birthday cake appeared, leaving me speechless.",surprise
138,Ben feels icky when someone runs their fingernail across the board.,disgust
139,I feel safe and content in your vicinity.,happiness
140,This trip ended up being way better than I thought.,surprise
141,Discovering hidden talents within oneself can be astonishing.,surprise
142,"Seeing the shadowy figure in the alley, a shiver ran down the boy's spine, fear intensifying in the dim light.",fear
143,"She was shivering, afraid she might break.",fear
144,Darkness scares me.,fear
145,I clenched my fists in rage when I saw the scratch on my brand new car.,anger
146,Seeing unleashed vicous dog approaching is terrifying ,fear
147,I'm out of coffee.,sadness
148,I get angry when I do not win my matches.,anger
149,I enjoy spending time with my family.,happiness
150,Can you stop doing that?,anger
151,I detest eating green milkshakes.,disgust
152,It was such a coincidence that my friend also goes to my class.,surprise
153,I am surprised by an unexpected meeting with an old acquaintance.,surprise
154,"The traffic was a nightmare, and it made me really upset.",sadness
155,I don't want to be here alone.,sadness
156,It makes my blood boil when people talk loudly on their phones in quiet public spaces.,anger
157,The sight of the towering waves during the storm terrified me.,fear
158,It's surprising that he gave up so easily.,surprise
159,It�s disappointing that we couldn�t spend more time together.,sadness
160,"Fists clenched, teeth gritted, she seethed with pent-up frustration.",anger
161,Being alone in a new place can make me feel anxious and vulnerable.,sadness
162,Not getting results I want after putting my soul into the task,sadness
163,I lose my temper when I see someone mistreating animals.,anger
164,I was suprised to see my parents stand next to the road.,surprise
165,I'm sad when I have to get up early.,sadness
166,I enjoy a cup of tea when it's cold outside.,happiness
167,The sudden thunderstorm caught us off guard during our picnic.,surprise
168,The students were confused about how to begin the task.,surprise
169,The ancient artifact was discovered right in our own backyard.,surprise
170,Stepping on a squishy banana peel made me cringe and want to wash my foot.,disgust
171,My heart raced with fear as I heard strange noises in my room.,fear
172,He worried about his soldier sons in the war.,fear
173,I was surprised by the test at school.,surprise
174,I finished the race in 1st position,happiness
175,The family gathered together in grief as they mourned the loss of their beloved pet.,sadness
176,All the children were in high spirits on the last day of school.,happiness
177,I get sad when I see a sick animal.,sadness
178,I love it when winter is over.,happiness
179,What annoys me is that they didn't let us in.,anger
180,"I felt scared when I got lost in the woods, with no one around.",fear
181,The sight and smell of rotten food in the refrigerator made her feel nauseous with disgust. ,disgust
182,"he slammed the door to his room, a testament the rage he was feeling.",anger
183,I am very hesitant to buy products from this street vendor.,surprise
184,Discovering a hidden talent for painting came as a delightful surprise to her. ,surprise
185,The warmth of the sun on my face fills me with joy.,happiness
186,My dog wags its tail vigorously and jumps around happily when it sees me.,happiness
187,My dog Betty always cheers me up.,happiness
188,It is nice when things end up being not to bad.,happiness
189,"The state of the public restroom was disgusting, there was toilet paper on the ground.",disgust
190,"The sharp retort sliced through the air, fueled by a boiling fury.",anger
191,Bungee jumping seems very scary,fear
192,I'm scared when I skydive at night.,fear
193,It is awful there are so many animals being abused.,sadness
194,Being disregarded when I'm talking,anger
195,I feel angry whenever I get blamed for actions I haven't commited,anger
196,It is his plesure to host this party.,happiness
197,Old friends' unexpected arrival turned Lisa's evening into a joyous surprise.,surprise
198,The slimy texture of the spoiled jelly on my sandwich was unpleasant.,disgust
199,I hate the feeling of hand cream or oil on my hands.,anger
200,The child sneezing in her face made her queasy.,disgust
201,I am very proud that I got a 10 on my math exams.,happiness
202,Hearing the lies spread about me ignited a fire of anger inside that I couldn't quench.,anger
203,The surprise birthday party my friends threw for me filled me joy.,happiness
204,It's terrifying to walk alone at night.,fear
205,I had to bite my tongue to stop myself from yelling in frustration.,anger
206,Billy was stunned to find his crush was in the same class as him.,surprise
207,He positively surprised her.,surprise
208,The audience gasped in surprise at the unexpected plot twist in the play.,surprise
209,A grimace twisted her features as she caught a whiff of the foul odor emanating from the garbage bin.,disgust
210,I walked on the street after carnaval and it's absolutely awful,sadness
211,Receiving an unexpected gift from a stranger in the mail left her pleasantly surprised and curious.,surprise
212,One of my friends has a fear of spiders.,fear
213,She was affraid to not oversleep.,fear
214,There's is no need to be resentful towards people with different opinions.,anger
215,I hate when my shoes are dirty.,anger
216,Memories of better times bring tears to my eyes.,sadness
217,I am excited for the holidays.,happiness
218,Why does it smell so bad in here?,disgust
219,It angers me when someone cuts the queue.,anger
220,I didn't expect my brother to knock on my door.,surprise
221,I love it when the warm sun of the summer shines on my face.,happiness
222,It's not fair that she passes and I don't.,anger
223,Being left behind in space,fear
224,I'm afraid of almost drowning at a obscure part of the ocean,fear
225,He is panicking that he might not pass the semester.,fear
226,I�ve been crying for days.,sadness
227,The abandoned teddy bear lay forgotten in the corner.,sadness
228,Seeing her name on the winner's list left her in shock.,surprise
229,They started panicking when they heard the Police sirens.,fear
230,I get happy when I get to sleep.,happiness
231,I've just won the annual marathon in my city!,happiness
232,He was hesitant to share his phone number.,fear
233,"My medicine has a side effect, which can make me feel agitated.",surprise
234,The man was shocked to see that his wife prepared a dinner for the two of them when he got back from a long day of work.,surprise
235,My dog was very excited when I started playing with him.,happiness
236,"Katie felt humaliated when her mother showed embarrassing pictures of her to her boyfriend,",sadness
237,The little boy was too afraid to enter the dark room.,fear
238,"The solitary figure sat on the park bench, lost in thoughts of his bleak situation.",sadness
239,I can't wait for us to go to Spain!,happiness
240,Watching sunsets relaxes me.,happiness
241,The strong smell of the rotten food repelled me from entering the kitchen.,disgust
242,letting opportuinity slip through fingers,sadness
243,I cried when I heard the song on the radio that reminded me of him.,sadness
244,My grandmom was really sad when my grandpa passed,sadness
245,"Blindfolded, she entered the room to find a group of friends and family shouting, ""Happy Birthday!"" � a delightful surprise party she never saw coming.",surprise
246,He felt alienated in his friend group.,sadness
247,My sister feels uncomfortable when strangers talk to her in the clubs.,sadness
248,"The unknown looms large, casting shadows of fear in my mind.",fear
249,I won Lotto,happiness
250,The rotten egg's smell made me feel gross.,disgust
251,"Wiping away tears, she whispered a final goodbye to a dear friend.",sadness
252,Luna can not bear if someone is impolite with the elderly people.,anger
253, Hugging my pet feels warm and loving.,happiness
254,My mother is the best mother in the world!,happiness
255,I feel fearful whenever a loud noise occurs around me,fear
256,The blatant disregard for the environment in the recent policy changes fueled an anger that was hard to shake off.,anger
257, Losing my old photographs brought tears to my eyes.,sadness
258,The father was yelling at the child because he got an insufficient grade in math class.,anger
259,I felt left out when my friends went off to do something together without me.,sadness
260,The dumpster reeks.,disgust
261,It enfuriates me when I am being treated unfairly.,anger
262,I feel surprised whenever someone I don't talk to often remembers my birthday,surprise
263,I get so mad whenever someone talks to loud when I'm having a conversation,anger
264,"Reading the final page of a story that had become a part of me, I was struck by a wave of sadness, knowing it was the end.",sadness
265,"When someone commented on my weight, I started to feel insecure.",sadness
266,People are terrified at the thought of death.,fear
267,I hate to see a hair in my food.,anger
268,John felt really uncomfortable when he had to present his findings after doing nothing.,fear
269,I am thankful for having such a lovely family.,happiness
270,I hate driving arround Sofia.,anger
271,I feel at ease when I can feel and taste the ocean breeze,happiness
272,I fear the never ending march of time.,fear
273,I was in awe of this country's beauty.,surprise
274,"She can't bear the thought of dirty, unwashed dishes.",disgust
275,Spending time with loved ones always brings a smile to my face.,happiness
276,They were delighted with the results.,happiness
277,"It was the worst gig ever, the seats were uncomfortable and music was too loud.",anger
278,She gags at the thought of eating slimy oysters.,disgust
279,"Lately, I have been feeling disconnected from others and unable to find joy in anything.",sadness
280,Maya felt joyful when she received a hug from her grandmother.,happiness
281,When the boulder fell on the road I stamped the break pedal out of fear.,fear
282,Going down to the basement is always terrifying.,fear
283,The unexpected arrival of guests left me pleasantly surprised.,surprise
284,"Wow, I can't believe you won the contest.",surprise
285,Funda cried her eyes out when she lost her puppy.,sadness
286,The woman was too stunned to speak.,surprise
287,I'm disgusted with the way she treated you.,disgust
288,I'm furious that someone took credit for my hard work.,anger
289,My heart broke when my girlfriend of five years and I split up.,sadness
290,I feel uneasy walking alone at night.,fear
291,The dirty dishes in the sink are utterly revolting.,disgust
292,That smell sickens me.,disgust
293,The freshmen are intimidated by the seniors.,fear
294,The sudden loud noise in the quiet room startled me.,fear
295,The man ran away when three big men wanted to fight with him.,fear
296,"Tom wandered through the empty school, feeling a heavy sadness in the echoing halls.",sadness
297,"After losing the game, he stormed out in a fit of rage.",anger
298,I was repulsed by the things I have seen on the internet.,disgust
299,He was delighted from the manners of the young lady.,happiness
300,I didn�t expect her to cut her hair so short.,surprise
301,My parents get angry at me when I do not listen them.,anger
302,The news of him leaving left me feeling utterly heartbroken.,sadness
303,I didn't expect the movie to end that way.,surprise
304,It's a incredibly pleasing coincidence whenever I run into a good friend on the road,happiness
305,I feel my blood boiling with anger when I'm listening to my boyfriend's excuses.,anger
306,He's sad about the assignment.,sadness
307,"There's one piece of cake left in the fridge, but it's all squished. I have the urge to eat it and not waste food.",disgust
308,I'm lonely when i smoke alone.,sadness
309,The sudden clap of thunder made me jump with surprise.,surprise
310,The presentation on monday is making me nervous.,fear
311,The experiment yielded results that defied all our expectations.,surprise
312,Unfair treatment at work fueled his simmering anger towards his boss.,anger
313,The news of the lottery win left him in a state of disbelief.,surprise
314,I fear of being lonely.,fear
315,"The friend I always hang out with said he does not want to hang out with me, this saddens me.",sadness
316,"At the top of the drop tower, I was terrified.",fear
317,My food order is 3 hours late !,anger
318,I love going to solo trips!,happiness
319,"He was afraid to admit his mistake, fearing the consequences of his actions.",fear
320,Her smile was so wide it almost lit up the entire room.,happiness
321,The policy will flabbergast most people.,disgust
322,Dealing with scammers,anger
323,The dumpster's odor made me frown as I took out the trash.,disgust
324,I was angry at my friend.,anger
325,I like when it rains,happiness
326,It's a bummer that I failed for biology exams again.,sadness
327,I always get angry when my flat mate whines about everything.,anger
328,"Dark, empty streets at night always make her feel nervous.",fear
329,The way he acted was really surprising.,surprise
330,The upcoming deadline is making me terrified. ,fear
331,I felt dejected when I received disappointing news about a internship opportunity.,sadness
332,it feels like a stab in the back when your partner cheats on you.,sadness
333,Look there is a cat on the road!,surprise
334,I like spending time volunteering.,happiness
335,Yesterday I felt so energetic to finish it.,happiness
336,Panic spread when news of a new COVID variant surfaced.,fear
337,The thought of returning to London filled her with dread.,fear
338,It's disgusting to find hair in your food. ,disgust
339,Walking alone at night brings shivers up my back.,fear
340,"As the last page turned, a tear fell, mourning the end of the story that had become her escape.",sadness
341,"I get tired, waking up so early every morning.",anger
342,It was terrifying watching that accident happen.,fear
343,My brother is furious when his favorite football team loses a match.,anger
344,I don't know what happened to me when the car fell in the water.,surprise
345,"The dog had his tail between his legs, trembling with fear.",fear
346,Moldy food disgusts me.,disgust
347,Scratching nails across certain surfaces makes me cringe.,anger
348, The unexpected creaking sound at home game me shivers.,fear
349, I love riding my bike to work!,happiness
350,I will cry if my puppy gets sick,sadness
351,I'm sad when I'm out of vodka.,sadness
352,All my friends are terrified of bugs.,fear
353,I'm sad whenever I am not included,sadness
354,Seeing my childhood friend in a city thousands of miles from home took me by complete surprise.,surprise
355,"The creaking floorboards at night filled his mind with unease, making sleep elusive.",fear
356,"That man is jumping with excitement, his face lit up with a wide grin, because he just won the lottery.",happiness
357,"As the curtains opened, the audience erupted in cheers, surprised by the celebrity guest making a special appearance in the school play.",surprise
358,Losing a cherished pet left him with a heavy heart and pangs of grief.,sadness
359,I enjoy spending time in the park.,happiness
360,The weight of loss sits heavy on my heart.,sadness
361,I was pleasantly surprised by how well my students performed on the test.,surprise
362,The sight and smell of the decaying food in the garbage makes her stomach churn.,disgust
363,The neighbour seems very downcast since they lost their cat.,sadness
364,"When someone picks their nose, she will be disgusted",disgust
365,Seeing a large dog unleashed makes her heart race.,anger
366,I love coming home to have my dog greet me,happiness
367,I'm speechless.,surprise
368,Finding mold in the corners of the shower stall grosses me out beyond words.,disgust
369,My boss was livid when he saw the reports from last month,anger
370,"Slamming the door, she vented her anger after a heated argument with her sibling.",anger
371,I don't think that is a good idea.,sadness
372,She feels left out by her friends.,sadness
373,I can't believe you forgot my birthday again; I'm absolutely fuming.,anger
374,It's disgusting when someone makes a mess and don't clean it up,disgust
375,I find it repulsive when people litter in beautiful natural parks.,anger
376,"The streets of Tilburg during carnaval are covered with garbage, puke and excrement.",disgust
377,The passing of my granddad made me very depressed,sadness
378,I love my job.,happiness
379,Looking at the garbage people throw in the street makes me sick.,disgust
380,When did the discount on energy drinks start?,happiness
381,I was so nervous when I heard my manager wanted to talk to me.,fear
382,"The sight of overripe, squashed fruit on the sidewalk is thoroughly unappetizing.",disgust
383,I am so done with this place.,anger
384,Lisa felt hurt when her classmates laughed at her mistake.,sadness
385,I despise people who commit any form of abuse.,anger
386,I was startled by her presence in the meeting.,surprise
387,Gazing at old photographs stirred up bittersweet memories of happier times. ,happiness
388,I really dislike kale,disgust
389,I think it's disgusting when people don't wash their hands after going to the bathroom.,disgust
390,Finding the movie I had been searching for months brought me an immense joy that I hadn't felt in a long time.,happiness
391,"After she passed away, this place felt so empty.",sadness
392,My mother was really angry with me.,anger
393,I got surprised for my birthday.,surprise
394,Everyone laughs when my uncle jokes around.,happiness
395,I am mad at her because her behaviour was impolite.,anger
396,It is neglectful to disregard the importance of dental care.,anger
397,It's so scary when someone almost hits you on the road.,fear
398,"Witnessing the northern lights dance across the sky for the first time was a breathtaking surprise, exceeding all expectations.",surprise
399,I like standing in the sun.,happiness
400,Thinking about meat production makes me sad.,sadness
401,I can't believe I listened to you.,anger
402,I love going on a walk in spring!,happiness
403,Seeing the injustice faced by vulnerable communities every day stoked a deep-seated anger and a desire to advocate for change.,anger
404,"After the argument, left him crying alone in his room.",sadness
405,I need to clean up after my dog pooped,disgust
406,It was a pleasant surprise when I found 20 euros in my back pocket!,surprise
407,I love eating cake.,happiness
408,I was taken aback when I discovered I had won the competition.,surprise
409,She wished for a better grade.,sadness
410,I recieved happy birthday from an acquaintance I don't talk with,surprise
411,His patience finally boiled over when the computer crashed for the third time that day.,anger
412,Hearing a loud noice makes me jump.,fear
413,The idea of using a dirty bathroom with no soap or toilet paper is horrifyingly disgusting.,disgust
414,Artists are enraged that AI is taking their jobs.,fear
415,His face turned red with rage as he discovered someone had tampered with his work without permission.,anger
416,I was so happy when I found my lost wallet.,happiness
417,He got very raged after finding out his girlfriend cheated on him.,anger
418,It is so frustrating when someone tells you to do something in an arrogant voice.,anger
419,I was so surprised when I found a letter in my mailbox today.,surprise
420,I get angry when I get a flat tire.,anger
421,"Heart racing, she stared in disbelief at the improbable sight unfolding before her eyes.",surprise
422,The rainy days match my gloomy mood perfectly.,happiness
423,Opening the door to find her long-lost friend standing on the doorstep left her speechless with surprise.,surprise
424,The mother was upset by the constant cries of her child.,sadness
425,I�m thankful for my parents.,happiness
426,The news of the natural disaster left a heavy weight on my heart.,sadness
427,I have finally found that coin I was looking for.,happiness
428,I hate the feeling when I have to bury my dead pets,anger
429,It made me really sad to see homeless people begging for food on the streets.,sadness
430,"At the end of this year, he was genuinely depressed.",sadness
431,I want to throw up when the meat I eat is chewy.,disgust
432,Witnessing acts of cruelty towards the vulnerable fills me with disgust.,disgust
433,Jason recoiled at the slimy texture of expired food he bit into unknowingly.,disgust
434,The boy smashed his desk when he died in the videogame.,anger
435,It's disgusting when someone sneezes in my face. ,disgust
436,None of my friend ever invite me to hang out.,sadness
437,I ran away out of fear when the clown ran at me.,fear
438,"Emily's mood matched the gray clouds outside, lost in thoughts of a broken friendship.",sadness
439,"My stomach turned over when I saw someone kick that dog, what a disgusting act.",anger
440,I love that we have so many international students in this university.,happiness
441,Walking through the dark alley at night fills me with a sense of dread.,fear
442,I'm very uncomfortable with the naked man in the park. ,disgust
443,I'm afraid of hurting pets that I care about,fear
444,The blatant disregard for the rules at the park made my blood boil with anger.,anger
445,I was heart-broken when the coffee machine broke.,sadness
446,He was sad because he dropped his sandwich upside down.,sadness
447,It's nice to see my plant growing.,happiness
448,Changing the baby's diaper made her nauseous.,disgust
449,The thought of social gatherings perturbs me.,fear
450,I was terrified when a guy was following me home at night.,fear
451,She was truly amazed by the output of this project.,surprise
452,It disgusts me when there is dirt in the sea.,disgust
453,I�m optimistic about this block.,happiness
454,Seeing my childhood friend at the reunion after decades was a surprise.,surprise
455,They really won the lottery?,surprise
456,My brother loves Nutella with pickles and I'm absolutely repelled by that. ,happiness
457,Public performance makes my heart race.,anger
458,I am surprised that you came,surprise
459,I was excited when I heard my name for the first place of the competition!,happiness
460,He was disheartened when he failed the important exam.,sadness
461,Rock climbing is scary,fear
462,"Whoa, another Windows update!",surprise
463,"There is so much to do, we will never be able to finish that.",sadness
464,I am dreading the visit to the doctor.,fear
465,This movie is very depressing to see.,sadness
466,The couple stormed off after hearing they weren't invited to the wedding.,anger
467,The haunting melody of the old piano cast a shadow of sadness over the room and its solitary player.,sadness
468,"Watching my friend succeed, puts a smile on my face.",happiness
469,Pool filters make me really uneasy and scared,fear
470,It makes me angry when no one is available to cover my shift.,anger
471,The view on the left is beautiful.,happiness
472,I can't stand people smoking near bus stops.,anger
473,People that play with gum in their mouth disgust me.,disgust
474,He has quite a temper when he plays games on his computer. ,anger
475,Emily's wave of disgust prompted a quick cleanup of the spoiled milk in the fridge.,disgust
476,My sister hates it when someone touches her stuff,anger
477,Someone did not take the trash out.,anger
478,"My brother announced he was having a baby, it was surprising.",surprise
479,Mark's hands shook with anxiety as he prepared to give a presentation in front of a large audience.,fear
480,He can't stand the stickiness of spilled soda on the floor.,disgust
481,Why are they always late?,anger
482,I was thrown off guard by the surprise party.,surprise
483,I was annoyed at my sister for using my clothes.,anger
484,I despise lying above all else; honesty is paramount to me.,anger
485,The flying boat really caught me off guard.,surprise
486,The chef is bitter that his dishes were disrespected.,anger
487,"You really need to clean here, everything is sticky.",disgust
488,I am angry.,anger
489,Do not talk to me like that you ungrateful kid!,anger
490,"At the sudden, loud bang, everyone in the room flinched in unison.",surprise
491,The scent of fresh flowers always brings her joy.,happiness
492,She started crying after she heard the news.,sadness
493,Unexpected encounters often lead to delightful surprises.,surprise
494,It was remarkable to see how quickly the tiny seedling grew into a towering tree.,surprise
495,Hearing the news about the promotion left me pleasantly astonished.,surprise
496,He was shocked when there was an exam today.,surprise
497,I cannot stand the smell of spoiled milk,disgust
498,Her constant lateness to meetings was beginning to really grate on me.,anger
499,The underdog team won against all odds in the final minutes of the game.,surprise
500,I panicked when he went over the speed limit. ,fear
501,Taking a moment to appreciate the beauty of nature lifts my spirits.,happiness
502,Finding money is a surprise.,surprise
503,Seeing cockroaches scatter out of a trashcan made me feel a wave of disgust.,disgust
504,"I broke my leg, it hurts.",sadness
505,I got amazing news today!,happiness
506,"As the train pulled away, taking him to a new life, a deep sadness settled over me, knowing things would never be the same.",sadness
507,Every creak of the floorboards sent a jolt of terror through her trembling frame.,fear
508,"I get nauseous by the smell of fish, because I was sick once eating it.",disgust
509,The chance of failing the exam fills me with dread.,fear
510,"When someone pretends to be an expert but turns out to be a fraud, it's infuriating.",anger
511,I really enjoy working 13 hours in the kitchen serving the same food over and over again.,happiness
512,I am afraid I will fail the test.,fear
513,My friend got aggressive when someone yelled at him.,anger
514,electricity parked when I plug in the charger,surprise
515,I get angry when I miss my train.,anger
516,Every time I come home I am full of joy.,happiness
517,After a fight with my best friend I feel hurt and powerless. ,sadness
518,I crashed my car and I want to cry.,sadness
519,"After this horror, I'm afraid to go outside.",fear
520,I didn't expect a birthday party,surprise
521,Eating mango makes my day better.,happiness
522,Her sudden appearance at the party was completely unexpected.,surprise
523,The sight of mold growing on the walls of the damp room was utterly abhorrent.,disgust
524,"Whoa, I passed the block!",surprise
525,The sudden thunderstorm caught everyone off guard.,surprise
526,I am scared.,fear
527,"I just saw someone eating a mouse, I almost fainted.",disgust
528,I am scared that my uncle will not recover after that accident. ,fear
529,I cannot stand it if someone chews with their mouth open.,disgust
530,Mike felt satisfied with his achievement.,happiness
531,I was shocked that my neighbor was actually a magician.,surprise
532,"The challenge before her was daunting, but she knew she had to face her fears to overcome it.",fear
533,We are so glad you found a new job.,happiness
534,It is such a pity that the main character of my series died.,sadness
535,Having someone appear where you did not expect anyone to be makes you jump,surprise
536,Receiving that long-awaited promotion at work made me incredibly happy.,happiness
537,I cringe at the sight of a hair in my food.,disgust
538,I am going to die alone.,sadness
539,My doctor told me anxious that I tested negative.,sadness
540,I felt really angry when she lied about plagiarizing my work.,anger
541,Being cut off in traffic triggered a sudden flare-up of intense anger.,anger
542,It's incredible to surpass expectations and achieve results beyond what was predicted.,surprise
543,Discovering a new book that captures my interest makes my day more exciting.,happiness
544,Someone has been following me down a dark alley.,fear
545,"She regretted not saying goodbye, a mistake that haunted her every night.",fear
546,"Whenever he hugs me, I feel like I'm in heaven.",happiness
547,Raindrops fell steadily from the gray sky as the sorrowing work week started again.,sadness
548,I love to think about space!,happiness
549,My friend sorrows over the loss of her cat.,sadness
550,I failed block E.,sadness
551,The sight of the blooming flowers in spring makes my heart happy.,happiness
552,"After sipping my coffee, I felt uneasy realizing I had used expired milk, making me grimace in discomfort.",disgust
553,I wasn't expecting the grade I got.,surprise
