sentence,emotion
The sight before me twisted my insides with a mix of shock and disgust.,appalled
The mere thought of it sends a shiver of repulsion down my spine.,detest
"I shifted in my seat, unable to meet their eyes as the silence stretched on.",uncomfortable
"Despite your excuses, it's clear that your actions were not acceptable.",judgemental
"Every time I see their smug expression, I am filled with a sense of deep revulsion and disgust.",loathing
"She skillfully steered clear of any mention of the topic, expertly changing the subject whenever it crept into the conversation.",avoiding
"Her excitement, once bubbling over, now lay as a mere shadow, its vibrancy crossed out by disappointment.",crossed out
The situation left a deep sense of unease and discomfort in its wake.,awful
I cannot fathom how such blatant disregard for ethics and common decency is tolerated.,outraged
The putrid smell made my stomach churn and my expression contort in revulsion.,disgust
The sight of the decaying food made me instinctively step back in discomfort.,repelled
I'm not completely sure if I should proceed with this decision.,hesitant
The sight and smell of the overflowing garbage bin made her feel instantly unwell.,nauseated
The sight before me filled me with a deep sense of disbelief and revulsion.,appalled
The mere thought of that situation fills me with an overwhelming sense of disgust and aversion.,detest
"The room was filled with a heavy silence, making everyone shift in their seats uneasily.",uncomfortable
I can't believe someone would make such a thoughtless decision.,judgemental
The mere thought of that person's presence sends a shiver of disdain down my spine.,loathing
I tend to steer clear of situations that make me feel uneasy.,avoiding
Sometimes it feels like the path forward is constantly being rewritten in a flurry of changing plans and erased decisions.,crossed out
"The sight of the abandoned, dilapidated house sent shivers down her spine.",awful
The blatant disregard for fairness and justice in that decision is absolutely unacceptable.,outraged
The sight and smell of the rotten food in the fridge made my stomach turn.,disgust
"Her skin crawled and she took a step back, unable to push away the feeling of discomfort.",repelled
I'm not quite sure if I should proceed with this decision.,hesitant
"The overpowering stench twisted my stomach into knots, making me want to flee the room.",nauseated
My jaw dropped in disbelief at the shocking scene before me.,appalled
"Every time I see that person, my mood instantly darkens.",detest
"The heavy silence filled the room, making everyone shift in their seats.",uncomfortable
I can't believe someone would choose to wear that outfit in public.,judgemental
The mere thought of the situation tightens my chest and ignites a fervent desire to be elsewhere.,loathing
She always found excuses to change the subject whenever the topic of their past arguments came up.,avoiding
"In that moment, all the plans we had carefully crafted were abruptly rendered obsolete.",crossed out
"The feeling slowly crept over her like a heavy, suffocating blanket, casting a shadow over her thoughts and leaving her with a heavy heart.",awful
I am absolutely appalled by such blatant disregard for common decency!,outraged
The putrid smell made my stomach churn in revulsion.,disgust
The sight filled my senses with an immediate urge to flee.,repelled
I'm not entirely certain if I'm ready to take that leap just yet.,hesitant
The pungent stench made my stomach churn uncomfortably.,nauseated
The sight before me sent a shiver of disbelief down my spine.,appalled
"Every time I see their smug smile, my mood darkens with an intensity that rivals the stormiest of nights.",detest
"The air in the room felt heavy, making everyone shift in their seats uneasily.",uncomfortable
They always seem to choose the most questionable outfits for important events.,judgemental
The mere thought of their presence sends a shiver down my spine.,loathing
I find myself constantly shifting my focus away from that particular topic.,avoiding
"Her hopes and dreams lay abandoned and forgotten, like a canceled appointment on a calendar.",crossed out
"The bleak shadows of despair crept closer, casting a pall of unease over everything in their path.",awful
I cannot believe such injustice and disregard for integrity.,outraged
"The foul odor wafted from the kitchen, causing my stomach to churn in protest.",disgust
The sight of the decaying food left me feeling unsettled and eager to leave.,repelled
I'm not sure if I should take the risk of trying something new.,hesitant
The putrid smell in the room twisted my stomach into knots.,nauseated
The sight before me left me utterly shocked and disgusted.,appalled
The mere thought of it sends a shiver down my spine.,detest
"I couldn't help but squirm in my seat, avoiding eye contact with anyone in the room.",uncomfortable
It seems quite curious that their choices consistently lead them down such peculiar paths.,judgemental
The mere thought of it fills me with an overwhelming sense of revulsion.,loathing
I tend to steer clear of situations where awkward encounters are likely to happen.,avoiding
"She carefully penned her ideas on the paper, only to meticulously strike them out in frustration.",crossed out
The news of the accident left a heavy weight in my chest and a sense of overwhelming dread.,awful
I cannot believe such blatant disrespect and disregard for basic decency!,outraged
The putrid stench made my stomach turn in revulsion.,disgust
The sight of it made my skin crawl and a shiver run down my spine.,repelled
I feel unsure about making a decision without more information.,hesitant
"The pungent odor wafting from the trash can made her quickly turn away, clutching her stomach tightly.",nauseated
The sight before me left my stomach churning and my hands trembling in disbelief.,appalled
The mere thought of it makes my skin crawl with repulsion.,detest
"The tension in the room was palpable, making everyone shift in their seats uneasily.",uncomfortable
I can't believe they would make such a thoughtless decision without considering the consequences.,judgemental
The mere thought of their deceitful actions twists my gut with disgust.,loathing
I found myself steering clear of that particular situation whenever it arose.,avoiding
Her carefully laid plans crumpled under the weight of unexpected chaos.,crossed out
The heavy ache in the pit of my stomach suffocated any flicker of hope.,awful
The blatant disregard for basic human rights in that situation is absolutely unacceptable.,outraged
"The slimy, putrid smell wafted over from the dumpster, causing a wave of revulsion to wash over me.",disgust
"The sight of the creepy-crawly sent shivers down my spine, making me want to flee.",repelled
I'm not quite sure if I'm ready to make a decision on this just yet.,hesitant
The pungent smell mixed with the swaying motion made my stomach churn.,nauseated
The sight before me sent shivers down my spine and jolted me to the core.,appalled
"Whenever it comes around, it feels like nails on a chalkboard to me.",detest
"The awkward silence lingered, filling the room with tension.",uncomfortable
It's incredible how some people never seem to grasp the concept of common sense.,judgemental
The mere thought of that person's presence fills me with an overwhelming sense of revulsion.,loathing
I try to steer clear of situations that make my heart race and palms sweat.,avoiding
"Her hopes had been carefully penned on paper, only to have a cruel strike obliterate them in an instant.",crossed out
"The sinking feeling lingered, overshadowing any glimpse of hope.",awful
I cannot believe the audacity and sheer disrespect shown in this situation!,outraged
"The putrid odor wafted from the garbage can, making my stomach churn in revulsion.",disgust
"The sight of it made her quickly avert her gaze, a shiver running down her spine.",repelled
"With a slight pause and uncertain gaze, she took a hesitant step forward.",hesitant
The pungent odor mixed with the swaying motion of the boat made me feel queasy.,nauseated
I couldn't believe the shocking and disgraceful behavior I witnessed.,appalled
That particular scent never fails to make my stomach turn and my mood sour.,detest
"The stifling silence stretched between them, filling the room with unspoken tension.",uncomfortable
"As I observed the situation, I couldn't help but feel a sense of disapproval towards their choices.",judgemental
The mere thought of their deceitful actions fills me with a profound sense of revulsion.,loathing
She skillfully steered clear of any mention of the dreaded topic during their conversation.,avoiding
"She painted her dreams with vibrant colors only to watch them fade to dull shades, like ink lines erased from a page.",crossed out
"The situation left a heavy weight in their chest, like a storm cloud hanging over their thoughts.",awful
I cannot believe such an injustice was allowed to happen!,outraged
The sight and smell of the decaying garbage made my stomach turn and my face cringe in response.,disgust
The sight of moldy food in the fridge made her retreat hastily.,repelled
I'm not entirely sure if I'm ready to make a decision just yet.,hesitant
"The pungent smell curled in my nose, making my stomach churn uncomfortably.",nauseated
The sight left a sinking feeling in my stomach with disbelief and disgust overwhelming me.,appalled
"Every time I encounter that dreadful smell, my whole being recoils in disgust.",detest
"The air suddenly felt heavy and stifling, making it hard to catch a breath.",uncomfortable
That outfit choice could certainly benefit from a little more consideration.,judgemental
The mere thought of their presence fills me with an intense urge to retreat.,loathing
She consistently took detours to evade any encounters with her ex at the grocery store.,avoiding
She had carefully planned her outfit for hours only to look in the mirror and see that her favorite dress was ~covered in coffee stains~.,crossed out
"The experience left a gnawing ache in the pit of my stomach, heavy and suffocating.",awful
I cannot believe the blatant disregard for justice and fairness in this situation.,outraged
The sight and stench of the decaying food made my stomach churn in revulsion.,disgust
The sight of the decaying garbage filled the air with a sickening stench and sent me scrambling in the opposite direction.,repelled
She paused momentarily before taking a tentative step forward.,hesitant
The smell wafting from the garbage can made her feel queasy and uneasy.,nauseated
The scene before me filled me with an overwhelming sense of disbelief and disgust.,appalled
The mere thought of it leaves a bitter taste in the mind.,detest
His shifting gaze and fidgeting hands hinted at his unease in the tense atmosphere.,uncomfortable
The way they handle that situation leaves much to be desired.,judgemental
The mere thought of it sends a shiver down my spine.,loathing
"She skillfully sidestepped any mention of the upcoming event, hoping to steer the conversation in a different direction.",avoiding
"Despite her carefully laid plans, the unexpected turn of events left her feeling tangled in chaos and uncertainty.",crossed out
"The feeling of dread and despair clung to every moment, weighing heavier with each passing second.",awful
The injustice and betrayal in this situation are absolutely unacceptable.,outraged
The sight and smell made my stomach turn in revulsion.,disgust
The sight of the decaying meat caused a physical reaction in me.,repelled
"She took a tentative step forward, unsure of what lies ahead.",hesitant
The stench coming from the dumpster behind the restaurant made my stomach churn.,nauseated
My jaw dropped in disbelief at the shocking sight before me.,appalled
The mere thought of that fills me with an overwhelming sense of disdain.,detest
"The awkward silence stretched between them, filling the room with tension.",uncomfortable
It's quite surprising how some people choose to ignore such obvious facts.,judgemental
The mere thought of it sends a chill down my spine.,loathing
"She skillfully sidestepped the uncomfortable conversation, redirecting the focus to a lighter topic.",avoiding
"Her once hopeful words were now mere scribbles on a crossed-out page, a reflection of her shattered dreams.",crossed out
"The feeling lingers like a heavy weight dragging on the spirit, dimming the light of hope.",awful
I cannot believe such dishonest and disgraceful behavior was allowed to occur.,outraged
"The putrid stench wafted from the decaying pile of garbage, turning my stomach.",disgust
The sight of the decaying food made my stomach turn and my skin crawl.,repelled
"She took a small step forward, then paused and glanced back uncertainly.",hesitant
The pungent odor swirling around made my stomach churn and my head swim.,nauseated
The sight in front of me sent a wave of unease and disbelief through my core.,appalled
The mere thought of engaging in such dishonesty fills me with an overwhelming sense of repulsion and contempt.,detest
"The heavy silence weighed down the room, making everyone squirm in their seats.",uncomfortable
It's surprising how some people can be so oblivious to basic social cues.,judgemental
The mere thought of it sends a shiver down my spine and fills me with an overwhelming urge to distance myself.,loathing
She always found excuses to change the subject whenever it came up in conversation.,avoiding
"Her carefully laid plans were suddenly rendered meaningless, as if a bold line had been drawn through each one.",crossed out
"The feeling weighed heavy in her chest, suffocating and relentless.",awful
I cannot believe such blatant disregard for decency and fairness!,outraged
The foul stench emanating from the garbage bin made my stomach turn.,disgust
"The sight of the decaying, foul-smelling substance made her quickly step back in disgust.",repelled
"She took slow, uncertain steps forward, unsure of what to do next.",hesitant
The smell mixed with the heat made my stomach churn uncomfortably.,nauseated
The sight before me left me reeling with disbelief and revulsion.,appalled
The mere thought of it fills me with a visceral unease and revulsion.,detest
"The tension in the room was palpable, making everyone shift in their seats awkwardly.",uncomfortable
I can't believe they would make such a thoughtless decision without considering the consequences.,judgemental
The mere thought of interacting with them fills me with an intense urge to be somewhere else.,loathing
She consistently finds excuses to steer clear of any conversation with her nosy neighbor.,avoiding
"All of his carefully laid plans were suddenly rendered obsolete with a single, decisive stroke.",crossed out
"The feeling crept over me like a heavy fog, suffocating and unshakeable.",awful
I cannot believe such flagrant disrespect and disregard for basic decency.,outraged
The sight and smell of the decaying food in the trash can made her cringe and quickly look away.,disgust
The mere thought of touching the slimy texture made him hastily withdraw his hand.,repelled
I'm not entirely sure if this is the right decision to make right now.,hesitant
The pungent odor made my stomach churn and my head swim with discomfort.,nauseated
The sight before me filled me with a deep sense of revulsion and disbelief.,appalled
The mere thought of participating in that activity fills me with an overwhelming sense of reluctance and disdain.,detest
"I shifted awkwardly in my seat, feeling the tension in the room thicken.",uncomfortable
Some people's choices make you wonder about their decision-making skills.,judgemental
The mere thought of it sends a shiver down my spine.,loathing
"I find myself skirting around certain topics and situations, trying to keep a safe distance from them.",avoiding
"His plans for a relaxing evening were swiftly changed, erased from existence by an unexpected call to work overtime.",crossed out
The situation filled me with an overwhelming sense of dread and discomfort.,awful
I cannot believe such injustice and disrespect!,outraged
The pungent odor made my stomach turn and bile rise in my throat.,disgust
"The sight of the slimy, slithering creature sent shivers down her spine.",repelled
"She lingered at the edge of the decision, uncertain which path to choose.",hesitant
"The putrid smell engulfed my senses, leaving a bitter taste lingering in my throat.",nauseated
The sight before me made my heart sink with disbelief and revulsion.,appalled
The mere thought of that person's presence fills me with an overwhelming sense of aversion and disdain.,detest
The stifling heat prickled my skin as I squirmed in the overly crowded room.,uncomfortable
It appears that some people have quite questionable taste in fashion accessories.,judgemental
The mere thought of it sends a shiver down my spine.,loathing
Sometimes it's easier to take a different path rather than confront what's right in front of you.,avoiding
His once carefully laid out plans were now a jumble of haphazard scribbles and deletions.,crossed out
"The feeling clouds over me, dark and heavy, suffocating any hint of light or joy.",awful
I cannot believe such blatant disregard for fairness and honesty!,outraged
"The pungent odor of rotten eggs wafted through the room, making my stomach turn.",disgust
The sight of the decaying food in the fridge made her quickly slam the door shut.,repelled
She carefully weighed her options before tentatively moving forward.,hesitant
The unpleasant odor swirling in the stale room drew an involuntary grimace from me.,nauseated
The sight before me filled me with disbelief and disgust.,appalled
"Every time I think of that person, it feels like a swarm of ants crawling under my skin.",detest
The awkward silence between them grew heavier with each passing moment.,uncomfortable
It seems like some people have a remarkable talent for making questionable decisions.,judgemental
Every fiber of my being recoils in disgust at the mere thought of it.,loathing
She carefully steered clear of any mention of the upcoming event.,avoiding
"The plans we had meticulously outlined were abruptly erased, leaving a tangled mess of uncertainties in its wake.",crossed out
"The feeling crept in like a cold shadow, casting a heavy weight upon my chest.",awful
I am absolutely appalled by such blatant disregard for common decency!,outraged
The putrid stench made my stomach churn and my skin crawl.,disgust
"The sight of the decaying, putrid mound of waste made her shudder and quickly step away.",repelled
"She took a step forward, then paused, uncertain of what to do next.",hesitant
The sight and smell of the rotten food left me feeling queasy and unsettled.,nauseated
The sight before me made my stomach churn and my mind reel in utter disbelief and horror.,appalled
The mere thought of engaging with such insincere and deceitful behavior fills me with intense repulsion.,detest
"The room fell silent as all eyes turned to me, making me squirm in my seat.",uncomfortable
It's surprising how some people can overlook such obvious mistakes.,judgemental
The mere thought of it sends a shiver down my spine.,loathing
She consistently found excuses to no longer attend the gatherings with her former friends.,avoiding
Her words were like sharp blades slicing through the tender threads of trust between them.,crossed out
"The feeling lingers like a dark cloud, weighing down every thought and action with its heavy presence.",awful
I cannot believe such injustice has been allowed to happen!,outraged
The rancid smell made my stomach turn and my face scrunch up in revulsion.,disgust
The mere thought of touching that slimy substance made her quickly retract her hand.,repelled
I'm not quite sure if I'm ready to commit to this decision just yet.,hesitant
The sight and smell of the decaying food in the overflowing garbage can made my stomach churn uncomfortably.,nauseated
The sight before me sent a shiver down my spine and left me questioning humanity.,appalled
The mere thought of it fills me with an overwhelming sense of disgust.,detest
The room fell into an awkward silence as all eyes turned to the unexpected guest.,uncomfortable
"It seems like some people just can't keep their opinions to themselves, can they?",judgemental
The very thought of having to spend another moment in their company made my skin crawl.,loathing
I'd rather retreat to the quiet solace of solitude than face the cacophony of social gatherings.,avoiding
"Her plans for a beach day were canceled and replaced with a day of endless rain and puddles, leaving her disappointed and feeling like her dreams were erased before they even began.",crossed out
"The feeling lingered like a heavy fog, casting a shadow over everything in its path.",awful
I can't believe such blatant disregard for common decency!,outraged
"The slimy, putrid odor lingered in the air, making my stomach churn in revulsion.",disgust
The sight of the decaying fruits in the garbage made her retreat in disgust.,repelled
"I'm not sure if I should proceed with this plan, it makes me feel uncertain.",hesitant
The stench emanating from the garbage bin made my stomach churn in revolt.,nauseated
The sight before me sent a shiver down my spine and left me utterly stunned by its sheer wrongness.,appalled
The mere thought of it sends a shiver down my spine.,detest
"The awkward silence stretched between them, filling the room with tension.",uncomfortable
I can't believe they would make such a reckless decision without considering the consequences.,judgemental
The mere thought of their presence sends a shiver of repulsion down my spine.,loathing
She skillfully steered clear of any mention of the upcoming event.,avoiding
"She carefully wrote a list of things to do, but her plans were soon crossed out by unexpected changes.",crossed out
"The feeling lingered like a heavy cloud, suffocating and relentless.",awful
My blood boiled at the audacity of such blatant disrespect and disregard for common decency.,outraged
"The putrid stench wafted from the dumpster, causing a wave of nausea to wash over me.",disgust
The sight of the decaying carcass made her stomach churn with disgust.,repelled
"My footsteps faltered as I approached the edge of the cliff, unsure of what lay beyond.",hesitant
The putrid smell and slimy texture of the overripe fruit made me want to flee the room.,nauseated
The sight before their eyes left them utterly stunned and deeply disturbed.,appalled
The mere thought of that person's presence fills me with an overwhelming sense of disdain.,detest
"The tense silence filled the room, making everyone shift in their seats.",uncomfortable
The disapproving glances exchanged between them spoke volumes.,judgemental
The very thought of it twists my stomach and fills me with an overwhelming desire to be anywhere else.,loathing
She skillfully sidestepped any mention of the topic during the conversation.,avoiding
"She carefully traced over the words with a heavy hand, leaving a chaotic mess of lines on the paper.",crossed out
"The weight of despair loomed heavy on her spirit, casting a shadow over every fragment of light in her world.",awful
I cannot believe this blatant disregard for basic decency and respect!,outraged
The sight and stench made my stomach churn in revulsion.,disgust
The sight of the decaying and foul-smelling garbage made me swiftly retreat in disgust.,repelled
"She stood at the edge of the diving board, one foot lifted, unsure of whether to take the plunge.",hesitant
The sight and stench of the overflowing trash cans made my stomach turn and my head swim with discomfort.,nauseated
The sight before me filled me with an overwhelming sense of disbelief and disgust.,appalled
"Every time I hear their voice, my mood darkens and my patience wears thin.",detest
"The heavy silence in the room seemed to press against everyone's thoughts, creating a tension that lingered uncomfortably.",uncomfortable
"I must say, their choice of outfit leaves much to be desired.",judgemental
The mere thought of their presence fills me with an intense urge to retreat.,loathing
She skillfully sidestepped any interaction with her ex at the party.,avoiding
"Her once carefully planned schedule lay ruined with lines drawn through each item, leaving a chaotic mess in its wake.",crossed out
"The news he received filled his heart with a heavy, suffocating dread.",awful
I cannot believe such a flagrant disregard for fairness and justice has occurred!,outraged
The putrid smell made my stomach turn and my nose scrunch in revolt.,disgust
"The sight of the decaying meat made her quickly avert her gaze and step back, a surge of discomfort and unease creeping through her.",repelled
"She took a step forward, then paused, uncertainty flickering in her eyes.",hesitant
The pungent odor swirling in the room triggered an immediate urge to retreat.,nauseated
The sight before me filled me with deep shock and disbelief.,appalled
The mere thought of that person's presence fills me with an overwhelming sense of reluctance and disdain.,detest
His shifting gaze and fidgeting hands revealed his unease in the tense situation.,uncomfortable
One might question the wisdom of their choices.,judgemental
The mere thought of it sends a shiver down my spine.,loathing
"I find myself making excuses and changing plans, all to steer clear of that particular situation.",avoiding
"Her once elaborate plan was now a tangle of lines and scribbles, each idea mercilessly ~~struck through~~.",crossed out
"The feeling sank through her chest like a heavy anchor, suffocating any flicker of hope in its grasp.",awful
I cannot believe such injustice and disrespect are being tolerated!,outraged
"The foul stench wafted up from the garbage pile, making my stomach churn with revulsion.",disgust
The sight of spiders scurrying across the wall made her retreat quickly.,repelled
"She lingered at the edge of the decision, uncertainty evident in her furrowed brow.",hesitant
The pungent smell of the garbage made my stomach churn uncomfortably.,nauseated
The sight before me filled me with a deep sense of disbelief and disgust.,appalled
The mere thought of their presence fills me with a visceral unease.,detest
"The heavy silence lingered in the room, making everyone shift in their seats uneasily.",uncomfortable
That outfit definitely raises some eyebrows.,judgemental
The mere thought of their deceitful actions sends a shiver down my spine.,loathing
She skillfully sidestepped any mention of the upcoming family gathering.,avoiding
Her hopes for a smooth journey were *shattered* as the stormy weather caused delay after delay.,crossed out
The current situation fills me with a sense of deep discomfort and distress.,awful
I am utterly appalled and disgusted by such blatant disregard for basic decency and respect.,outraged
The foul odor made her cringe and step back in revulsion.,disgust
The sight of the decaying food in the fridge made me swiftly retreat in disgust.,repelled
"She stood at the edge of the cliff, one foot poised to step forward, but her heart whispered words of caution.",hesitant
"The stench from the trash can hit me like a wave, making my stomach churn and my head spin.",nauseated
The sight before me left my stomach twisting with disbelief and shock.,appalled
The mere thought of encountering that situation again fills me with an overwhelming desire to avoid it at all costs.,detest
The stifling silence in the room made everyone shift in their seats uneasily.,uncomfortable
I can't believe they would make such a careless decision without considering the consequences.,judgemental
The mere thought of that repugnant task fills me with a profound sense of distaste.,loathing
"She skillfully veered away from any mention of the topic, subtly redirecting the conversation towards safer waters.",avoiding
"She had carefully written out her feelings in a letter, but then decided to delete every word with bold strokes of her pen.",crossed out
The weight of despair hangs heavily upon every thought and breath.,awful
I am utterly appalled by such blatant disregard for common decency and respect.,outraged
The putrid smell assaulted my senses and made my stomach turn.,disgust
The sight before me stirred an instinctive desire to retreat swiftly.,repelled
"She lingered at the edge of the decision, uncertainty clouding her thoughts.",hesitant
The sight and smell of the decaying food left me feeling queasy and uneasy.,nauseated
I was taken aback and deeply disturbed by the appalling display of behavior.,appalled
The mere thought of it sends a shiver down my spine.,detest
"The awkward silence stretched on, filling the room with tension and unease.",uncomfortable
I can't believe they wore that outfit to such a formal event.,judgemental
The mere thought of it makes my skin crawl with revulsion.,loathing
She skillfully sidestepped the topic whenever it was brought up in conversation.,avoiding
"She carefully wrote a list of tasks for the day, only to find each item crossed out by someone else.",crossed out
The situation was like a dark cloud casting a shadow over everything.,awful
I am utterly appalled by such blatant disrespect and injustice.,outraged
The sight and smell of the garbage left out in the sun for days made me want to leave immediately.,disgust
"The sight of it made me instinctively take a step back, my whole body tensing in discomfort.",repelled
"She took a small step forward, her uncertainty evident in the way she paused before continuing.",hesitant
"The pungent odor wafted from the garbage can, causing a wave of discomfort in my stomach.",nauseated
The sight before me left my stomach churning and my heart heavy with dismay.,appalled
The mere thought of interacting with that person fills me with an overwhelming sense of discomfort and disdain.,detest
"The heavy silence in the room seemed to press down on everyone, filling the air with tension and unease.",uncomfortable
It is quite remarkable how some individuals always find a way to make poor decisions.,judgemental
The mere thought of their presence sends a shiver of revulsion down my spine.,loathing
She carefully steered clear of any mention of his ex-girlfriend during their conversation.,avoiding
"As I looked at the once neatly written list, it was now a chaotic jumble of words with lines ~through~ them.",crossed out
"The feeling lingers like a heavy shadow, suffocating and relentless in its grip.",awful
I cannot believe such blatant disrespect and injustice is allowed to happen unchecked.,outraged
The foul odor made my stomach turn and my face scrunch up in revulsion.,disgust
The sight of the decaying food in the garbage can made her quickly back away in disgust.,repelled
"She paused, her words trailing off as she carefully considered her next steps.",hesitant
The pungent mix of leftover food and cleaning products in the trash can made my stomach churn uncomfortably.,nauseated
The sight before me filled me with utter shock and disgust.,appalled
The mere thought of it sends a shiver down my spine.,detest
"Her gaze lingered a beat too long, creating an awkward silence that filled the room with tension.",uncomfortable
It's rather presumptuous of them to criticize others without considering their own faults.,judgemental
The mere thought of it sends a shiver down my spine.,loathing
I always find myself changing my route to the office to steer clear of awkward encounters with my nosy coworker.,avoiding
Her carefully written plans were all ~ruined by the sudden change in the schedule.,crossed out
The feeling was like being trapped in a never-ending storm of negativity and despair.,awful
I cannot believe such flagrant disrespect and injustice!,outraged
The sight and smell of the decaying food in the fridge made my stomach turn.,disgust
The sight of the decaying fish caused a visceral reaction in me.,repelled
I'm feeling unsure and apprehensive about making a decision right now.,hesitant
The putrid stench swirling in the room made my stomach churn and my head swim with discomfort.,nauseated
The sight before me sent shivers down my spine and turned my stomach.,appalled
I can barely contain my disdain whenever I think about it.,detest
My skin prickled as I felt their unwavering stare bore into me.,uncomfortable
The disapproving glances and raised eyebrows spoke volumes in the room.,judgemental
The mere thought of their presence sends shivers down my spine.,loathing
